image_url,cluster_id
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016578819/fFJH8pRkRq69L21LzB-tFx_null_bigImg_1766562205.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080033805427/cyb2MXIbQ3ytwb_qxwEWYE_null_bigImg_1766562200.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024692149/fPUgNiKwRTSiZh24jqH6pP_null_bigImg_1766562198.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080002124792/e9uKiqu0S8W1ZKZ0ibDv3t_null_bigImg_1766562195.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080000552549/ek-yS54ZR2q-iSwZOJOIxY_null_bigImg_1766562192.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016792667/dosVxSrsR5ioE5qgr1eBgv_null_bigImg_1766562191.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080006948527/eBCq6s4FRu-FkpbylxZoDt_null_bigImg_1766562190.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023790779/c03SYL3nSRqi_YcVhmNU6V_null_bigImg_1766562189.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080007765243/csLu827VQtCYW9j3soBPOA_null_bigImg_1766562180.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080006948527/eBCq6s4FRu-FkpbylxZoDt_null_bigImg_1766562180.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036680546/clxLBACYREStPNAxS2SVl1_null_bigImg_1766562179.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024789218/eNVOjfZ1TeWd_hgCi06Emt_null_bigImg_1766562179.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080017495203/cFQTPRy0T_6_MeWXwReBtG_null_bigImg_1766562174.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080000552549/ek-yS54ZR2q-iSwZOJOIxY_null_bigImg_1766562175.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080019302696/cLsUIb74Q9u7UKnU8H44Oy_null_bigImg_1766562172.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080006397907/fnc1EA49R2yrXu1E19ZAoa_null_bigImg_1766562162.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080012526499/eCnyzMQsQImZX0SHP5Bf96_null_bigImg_1766562160.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080040635775/dIoRfp_OQQS6cBZt_0uXDb_null_bigImg_1766562159.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080029742550/dxd9RB4wTP6Sdg3HGlPpvq_null_bigImg_1766562155.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080017495203/cFQTPRy0T_6_MeWXwReBtG_null_bigImg_1766562154.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080010754150/d2WelfQAQnqiuYroIbgOew_null_bigImg_1766562152.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080013960929/erLotu8ZRXqPvsvQFlY8ux_null_bigImg_1766562149.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080029742550/dxd9RB4wTP6Sdg3HGlPpvq_null_bigImg_1766562148.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023276142/fTLzEsNYTGiYOdBP53tlca_null_bigImg_1766562149.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016086805/ePzV3LjURcm7bDaN_nKjNr_null_bigImg_1766562149.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080003921683/c56z8v96TgmaEZmjYseyw-_null_bigImg_1766562144.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080000552549/ek-yS54ZR2q-iSwZOJOIxY_null_bigImg_1766562142.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023276142/fTLzEsNYTGiYOdBP53tlca_null_bigImg_1766562141.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080001277500/dFLuMhovT0uZ7ZFeYKeepc_null_bigImg_1766562136.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080000552549/ek-yS54ZR2q-iSwZOJOIxY_null_bigImg_1766562124.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080028870196/faLJ5yfLR42MkXthm6AlOL_null_bigImg_1766562123.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080026997611/dQgFpP97TXWKNMfnTuBhya_null_bigImg_1766562121.jpg,0
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036680546/clxLBACYREStPNAxS2SVl1_null_bigImg_1766562120.jpg,-1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080026997611/dQgFpP97TXWKNMfnTuBhya_null_bigImg_1766562114.jpg,0
