image_url,top1_class,top1_confidence,top2_class,top2_confidence,top3_class,top3_confidence
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016916118/eDkoGZhqROmv9v9yUfaGYj_null_bigImg_1766562220.jpg,GENUS4,28.38,LINKWELL,21.8,LT1,12.6
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080042430589/fYvfQbpcQKOOqgmh40xIyN_null_bigImg_1766562221.jpg,LAN1,40.36,GENUS1,31.51,CAPITAL,20.01
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080003068832/dtqiMLFIT3yErXRl9y32Jw_null_bigImg_1766562221.jpg,LANDIS2,48.0,GENUS5,34.31,GENUS1,9.1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080035352329/dYj-oufFTk2yK0HG7Qo9VT_null_bigImg_1766562219.jpg,LANDIS2,40.46,SARAL,39.9,MT2,4.1
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080035966060/ewXzOl69TQyrx4tDcgLmaD_null_bigImg_1766562219.jpg,VISIONTEK,29.51,LINKWELL,25.2,HPL3,19.63
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080037106509/eiXL_fzPQCGqyJjI7MdTjK_null_bigImg_1766562215.jpg,LT1,49.64,CAPITAL,14.38,LAN1,11.82
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080040227110/f9wpl7ExRTuki1uaMB3LtG_null_bigImg_1766562212.jpg,LAN2,32.65,GENUS5,28.92,GENUS1,23.62
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023308085/eqGXzZgnSAyn21fFNe-kUQ_null_bigImg_1766562211.jpg,LANDIS2,31.97,GENUS2,19.45,MT1,11.84
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080037018530/dkMtB4FIQ2y2YTIzudg8MV_null_bigImg_1766562208.jpg,GENUS5,43.62,LAN1,29.58,GENUS1,9.31
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024789218/eNVOjfZ1TeWd_hgCi06Emt_null_bigImg_1766562205.jpg,LT1,39.4,HPL2,24.97,GENUS2,5.89
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016578819/fFJH8pRkRq69L21LzB-tFx_null_bigImg_1766562205.jpg,VISIONTEK,23.21,LT1,15.53,LINKWELL,7.52
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080033805427/cyb2MXIbQ3ytwb_qxwEWYE_null_bigImg_1766562200.jpg,GENUS1,49.7,MT1,45.47,GENUS2,2.16
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024692149/fPUgNiKwRTSiZh24jqH6pP_null_bigImg_1766562198.jpg,AEW,26.23,EPPELTONE2,26.1,CAPITAL,11.44
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080002124792/e9uKiqu0S8W1ZKZ0ibDv3t_null_bigImg_1766562195.jpg,LT4,48.32,AVON1,24.08,AEW,11.45
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080000552549/ek-yS54ZR2q-iSwZOJOIxY_null_bigImg_1766562192.jpg,MT1,32.91,LAN2,30.08,GENUS5,9.13
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016792667/dosVxSrsR5ioE5qgr1eBgv_null_bigImg_1766562191.jpg,GENUS4,19.12,HPL1,16.03,BENTEC2,15.34
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080006948527/eBCq6s4FRu-FkpbylxZoDt_null_bigImg_1766562190.jpg,EPPELTONE2,21.06,LANDIS1,10.36,GENUS2,7.63
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023790779/c03SYL3nSRqi_YcVhmNU6V_null_bigImg_1766562189.jpg,LINKWELL,42.58,HPL3,39.22,VISIONTEK,12.4
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080007765243/csLu827VQtCYW9j3soBPOA_null_bigImg_1766562180.jpg,MT2,25.37,MT1,17.07,VISIONTEK,13.46
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080006948527/eBCq6s4FRu-FkpbylxZoDt_null_bigImg_1766562180.jpg,EPPELTONE2,44.82,SHENZHAN,24.5,GENUS4,5.01
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036680546/clxLBACYREStPNAxS2SVl1_null_bigImg_1766562179.jpg,HPL2,42.43,CAPITAL,23.0,HPL3,21.12
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024789218/eNVOjfZ1TeWd_hgCi06Emt_null_bigImg_1766562179.jpg,LT2,19.81,GENUS4,13.96,HPL2,11.7
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080017495203/cFQTPRy0T_6_MeWXwReBtG_null_bigImg_1766562174.jpg,GENUS1,36.59,GENUS5,34.99,LAN2,11.41
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080000552549/ek-yS54ZR2q-iSwZOJOIxY_null_bigImg_1766562175.jpg,GENUS5,43.1,LAN2,26.88,MT1,10.9
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080019302696/cLsUIb74Q9u7UKnU8H44Oy_null_bigImg_1766562172.jpg,EPPELTONE2,34.3,LANDIS2,22.24,AMTL,14.92
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080006397907/fnc1EA49R2yrXu1E19ZAoa_null_bigImg_1766562162.jpg,HPL3,42.09,VISIONTEK,21.08,EPPELTONE2,7.96
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080012526499/eCnyzMQsQImZX0SHP5Bf96_null_bigImg_1766562160.jpg,LAN2,28.22,GENUS1,15.21,LANDIS2,12.19
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080040635775/dIoRfp_OQQS6cBZt_0uXDb_null_bigImg_1766562159.jpg,LAN1,23.97,EPPELTONE1,12.82,GENUS5,11.79
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080029742550/dxd9RB4wTP6Sdg3HGlPpvq_null_bigImg_1766562155.jpg,LINKWELL,25.13,CAPITAL,19.76,EPPELTONE2,16.16
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080017495203/cFQTPRy0T_6_MeWXwReBtG_null_bigImg_1766562154.jpg,HPL3,38.98,GENUS1,34.48,LAN2,10.18
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080010754150/d2WelfQAQnqiuYroIbgOew_null_bigImg_1766562152.jpg,HPL3,44.45,LANDIS2,14.38,LAN2,12.56
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080013960929/erLotu8ZRXqPvsvQFlY8ux_null_bigImg_1766562149.jpg,HPL1,29.5,GENUS4,24.97,LINKWELL,13.19
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080029742550/dxd9RB4wTP6Sdg3HGlPpvq_null_bigImg_1766562148.jpg,LANDIS2,39.57,HPL2,23.88,EPPELTONE2,13.95
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023276142/fTLzEsNYTGiYOdBP53tlca_null_bigImg_1766562149.jpg,GENUS5,20.65,GENUS4,16.7,LAN2,14.09
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016086805/ePzV3LjURcm7bDaN_nKjNr_null_bigImg_1766562149.jpg,EPPELTONE2,34.35,GENUS2,32.81,SHENZHAN,14.63
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080003921683/c56z8v96TgmaEZmjYseyw-_null_bigImg_1766562144.jpg,LANDIS2,48.96,BENTEC1,15.62,GENUS3,5.08
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080000552549/ek-yS54ZR2q-iSwZOJOIxY_null_bigImg_1766562142.jpg,GENUS5,39.04,MT1,19.85,GENUS1,16.85
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080023276142/fTLzEsNYTGiYOdBP53tlca_null_bigImg_1766562141.jpg,GENUS4,35.26,MT1,18.48,GENUS5,11.76
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080001277500/dFLuMhovT0uZ7ZFeYKeepc_null_bigImg_1766562136.jpg,LANDIS2,41.52,GENUS1,35.25,GENUS5,10.72
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080000552549/ek-yS54ZR2q-iSwZOJOIxY_null_bigImg_1766562124.jpg,GENUS5,31.78,LAN2,25.79,CAPITAL,9.83
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080028870196/faLJ5yfLR42MkXthm6AlOL_null_bigImg_1766562123.jpg,MT1,47.3,GENUS5,13.56,GENUS1,7.08
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080026997611/dQgFpP97TXWKNMfnTuBhya_null_bigImg_1766562121.jpg,GENUS1,47.02,LAN2,27.82,LANDIS2,16.48
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036680546/clxLBACYREStPNAxS2SVl1_null_bigImg_1766562120.jpg,CAPITAL,33.58,LANDIS2,21.92,HPL3,10.85
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080026997611/dQgFpP97TXWKNMfnTuBhya_null_bigImg_1766562114.jpg,GENUS1,43.71,LAN2,33.17,LANDIS2,8.94
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080005526076/dpD6xKPpTxu4IBvSHqvkj9_null_bigImg_1766562115.jpg,EPPELTONE1,29.76,VISIONTEK,22.56,SHENZHAN,14.14
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080008371264/dzRpS37RQUC1MeokCO2t59_null_bigImg_1766562112.jpg,CAPITAL,45.55,GENUS1,23.69,GENUS5,9.74
